movie_id,movie_name,year,runtime,genre,rating,description,director,star
tt2126311,Mikeyboy,2013,90 min,"Action, Adventure, Comedy",8.5,"4 years, 3 continents, 2 friends, 1 dream, and no script.",Chris Berkenkamp,"Mike Dusi, 
Robin Charters, 
Kristen Mallette, 
Ed Gale"
tt20102664,Tears of Shark in Kunlun,2022,,Action,8.5,The film is based on the ancient legend of the shark's tears.,Pengfei Qin,"Cheng Qimeng, 
Yao Xingtong, 
Cui Yongxuan"
tt3961184,Eagles Nest,2014,90 min,Action,8.5,A Modern day Nazi death squad embark on a covert mission to recover lost treasure in south america and only handful of British mercs stand in their way.,"Shane Cole, 
Matt Greenhalgh","Prince Edmund Bailey, 
Andy Baker, 
Dave Bannister, 
Hayley Blakey"
tt7383740,My China Doll,2017,90 min,"Action, Drama",8.5,"Two countries, eight hundred and ninety kilometers apart, with different civilizations, and a troubled girl is looking for her long lost father from Tunisia to China. It's all about a ...                See full summary »",Rachid Ferchiou,"Ai Wan, 
Maram Ben Aziza"
tt4315528,Porkkalam,2010,,Action,8.5,Add a Plot,Bandi Saroj Kumar,"Tinnu Anand, 
Joe Anthony, 
Atheesh, 
Santhana Bharathi"
tt12205420,Kahay Dil Jidhar,2020,,"Action, Crime, Drama",8.5,Add a Plot,Jalal,"Junaid Khan, 
Mansha Pasha, 
Roma Michael, 
Sajid Hasan"
tt1405469,Aamar Pratigya,2008,142 min,Action,8.5,"Shiva, a young benevolent man, leaves no stone unturned to fight for his brother in order to reunite his family and bring back their lost happiness.",Swapan Saha,"Biswanath Basu, 
Priyanshu Chatterjee, 
Paoli Dam, 
Tathoi Deb"
tt23814366,Damocles,2020,,Action,8.5,Add a Plot,Lei Qiao,Guangxu Li
tt8774416,Bebhaan,2019,120 min,Action,8.5,Add a Plot,Anup Ashok Jagdale,"Mrunmayee Deshpande, 
Smita Jaykar, 
Sanjay Khapre, 
Anoop Thakur"
tt12814530,"Theoretically, a paranoid conspiratorial phone call",2020,92 min,"Action, Adventure, Comedy",8.5,"When it is the time to shape reality, the spy world calls The Pro Bono Spy Hunter.",Jorge Luis Villacorta Santamato,Jorge Luis Villacorta Santamato
tt0444982,681 - Velichieto na hana,1981,95 min,"Action, Drama, History",8.5,"In 651, Khan Kubrat died and the Khazars accelerated their raids upon Great Bulgaria. His five sons split the Bulgarian tribe and each led his to find new land where they could live in ...                See full summary »",Ludmil Staikov,"Stoyko Peev, 
Antony Genov, 
Vania Tzvetkova, 
Vassil Mihajlov"
tt3056884,B.D. în alerta - Profesorul de mimica,1970,95 min,"Action, Comedy, Crime",8.5,Add a Plot,Mircea Dragan,"Puiu Calinescu, 
Toma Caragiu, 
Jean Constantin, 
Iurie Darie"
tt4655628,Max Peril,2015,96 min,"Action, Comedy",8.5,"In an effort to finish a film before turning thirty, Riley Young documents and re-creates the supposedly-true stories of a retired secret agent using local talent, a VHS camcorder, and every low-budget trick he knows.",Frank Ladner,"Buddy Moody, 
Frank Ladner, 
Bobby Smith, 
David Howard"
tt3263378,El Gallo,2013,89 min,"Action, Crime, Drama",8.5,"An ex-con is deported to the Dominican Republic, where secrets from his past will force him to forge alliances with the prostitutes.",Juan Fernández,"Katherine Castro, 
Lia Chapman, 
Tad Coughenour, 
Juan Fernández"
tt15127876,Seven Souls in the Skull Castle: Season Flower,2017,181 min,Action,8.5,Add a Plot,Hidenori Inoue,"Munetaka Aoki, 
Shun Oguri, 
Kôji Yamamoto"
tt15354966,Lovers,2020,72 min,"Action, Comedy, Drama",8.5,"Justin Fisher tries to get the girl of his dream, Bailey. Meanwhile he also has to deal with the normal high school drama and more.",Connor Hearn,"Connor Hearn, 
Graysen Gutwein, 
Violet Hearn, 
Reagen Hamilton"
tt12747416,Seven Love Flowers in the Heavenly Mountain under the Seven Swords,2020,82 min,"Action, Drama, History",8.5,"Nalan Rongruo leads the snake out of the cave for the three demons of Jiangbei who captured the captive woman, but at a critical moment, he was interfered with by Gui Zhongming, who was suffering from soul-exclusion, and the plan failed.",Ziwei Han,
tt11421000,EkDe Ek,2021,129 min,"Action, Adventure, Comedy",8.5,Add a Plot,Rocky Mulchandani,"Kurush Deboo, 
Smit Pandya, 
Prem Gadhavi, 
Vishal Solanki"
tt5372134,Blood Painting,2016,76 min,"Action, Mystery, Thriller",8.5,"Twenty years after their father shot himself, leaving blood on his final piece of artwork, brothers Shawn and Tim still cope with the ongoing pain and trauma",Andrew Rotondi,"James Alonardo, 
Michael Bergeron, 
Richard Chandler, 
Matthew Crawley"
tt0389825,A Bullet in the Arse,2003,90 min,"Action, Comedy",8.5,"After a robbery gone wrong, three criminals turn against each other and embark on a blood-soaked bullet-riddled quest for cash and revenge. An unusual contemporary black-comedy western set ...                See full summary »","Robin Brennan, 
Paul Moder, 
David Richardson","Paul Moder, 
David Richardson, 
Robin Brennan, 
Adam Batt"
tt1437627,Prananiki Pranam,1990,130 min,"Action, Drama, Family",8.5,Add a Plot,Rama Rao Tatineni,"Mohan Babu, 
Nandamuri Balakrishna, 
Brahmanandam, 
Rajani"
tt6323620,Chase in Space,2006,56 min,"Action, Comedy",8.5,"Three friends wake up on a spaceship after a party. They soon realize that the aliens are on their way back to abduct more specimens. With no help from the authorities, they ultimately find themselves facing the deadly force of invaders.","Stefan Lindström, 
Patrik Söderberg","Per-Olov Sedin, 
Johan Larsson, 
Peter Elfving, 
Rainer Holm"
tt6000692,Clear Skies 2,2009,45 min,"Animation, Action, Sci-Fi",8.5,"Once again, the crew of Clear Skies find themselves embroiled in Smith's machinations as a rescue mission turns into a race against time for JR, Sol and Charlie.",Ian Chisholm,"Darren Blake, 
Andrew Carter, 
Ian Chisholm, 
Kevin Dewane"
tt5292988,MUDA When Time Is All That Matters,2016,,"Action, Drama, Mystery",8.5,"Muda: When Time Is All That matters- An independent feature film from Writer / Director Prinze Whyee, Producer / Creative Director Wlatee Pryce, and cinematographer Rowland Williams.",Prinze Whyee,"Jacinth Headlam, 
Montel Swaray, 
Tanya Thompson, 
Celeste Allen"
tt2149598,Bad Guys,2015,45 min,"Action, Crime, Drama",8.5,"A gritty tale about two odious drug dealers, Sal and Mitch, on a mission to find their stolen cocaine. Follow them on their pursuit, as they leave behind a disturbing path of Chaos, Death and Destruction.",Vincent McLean,"Vincent McLean, 
Tommy Nash, 
James Nasimi, 
Yana Batrak"
tt2445508,A Life More Ordinary,2002,85 min,"Action, Adventure",8.5,"Film following the events of the lively funny and fast moving play, features a young Dundee lad with an American girlfriend Obsessed with films, he sees his life as a series of movie-clips and his imagination takes him on a journey.","Kimber Cox, 
Paul Dundee, 
Anna Newell","Stephen Samson, 
Louise Smythe, 
Peter Airlie, 
Sandy Jack"
tt7812438,OH-Blivion,2019,45 min,Action,8.5,Ohmar and Vincenzo join forces once again after Raven's unborn child becomes the target of a satanic ritual.,Jared Campbell,"John Felix, 
Hilary Johnson, 
Raven Stone, 
David Johnson"
tt10022870,SIUAT Sumanth 3,2016,,Action,8.5,A title for testing IMDbPro Stay informed features.,"Vincent Kyi, 
Anna Kukharenko, 
Christopher Nooney, 
Swetha Val",
tt0253784,Tandra Paparayudu,1986,,"Action, Biography, Drama",8.5,The story of an Indian Freedom fighter who fought the French even before the British could establish their authority in India,Dasari Narayana Rao,"Krishnamraju, 
Mohan Babu, 
Pran Sikand, 
Jayasudha"
