movie_id,movie_name,year,runtime,genre,rating,description,director,star
tt5500424,The Majesty of Mavis,2005,82 min,"Adventure, Comedy",9,Chaos is spreading through The Valley. The Book Of Mavis is lost and The Council of Mavis fear an unknown power may be using it for evil. The seemingly heroic acts of Draygon the brave's ...                See full summary »,Peter Butler,"Sam Cotton, 
Oobah Butler, 
John Butler, 
Doc Butler"
tt8431524,Simanto Periye,2010,,Adventure,9,"A girl name sakina, braved wire fencing at the international border. And entered India. After being tortured by some Muslim guys there. She took shelter in a Hindu family in India. Trouble ...                See full summary »",Somnath Sen,"Abhishek Chatterjee, 
Biplab Chatterjee, 
Dipankar Dey, 
Shrabanti Malakar"
tt6941162,Neko,2017,60 min,"Action, Adventure, Thriller",9,"Two guys are moving in a small village called 'Purea' to undertake a screenwrite course, but there's something really special and magical about this place where weird characters come from other worlds.",Andrea Umberto Origlia,"Alessandro Macri', 
Flaminia Cacciari, 
Armando Celia, 
Andrea Coluccio"
tt1600846,Pub Crawl,2012,108 min,"Adventure, Comedy, Thriller",9,"It's a movie about a Pub Crawl in Edinburgh, Scotland. It takes place in a one day period on the day of the Grand National. Old friends relive the days and memories of their youth.",Ian Gueden,"Leigh Acton, 
Saeed Cardell, 
Charlie Carter, 
Ian Gueden"
tt19870428,A Group of Rapscallions Obsess Over A Mod Crafted (Lovingly) By Gerald,2022,68 min,"Action, Adventure, Comedy",9,"Jaiden, Ryder, Lucas, and Max, as well as another, familiar friend, all enter another side of Garry's Mod: Gerald's Mod.",Jaiden Marchetti,"Tyler Anderson, 
Lucas Heredia, 
Ryder Lewellen, 
Max Mandlestein"
tt0381121,Raqsat errihu,2003,80 min,"Adventure, Drama, Fantasy",9,"A filmmaker who travels to the South of Tunisia for a scout mission for his film project, get stranded in the Sahara.",Taieb Louhichi,"Hatem Berrabeh, 
Haifa Bouzouita, 
Mohamed Chouikh, 
Chekra Rammeh"
tt14329792,No Eixo da Morte,1998,78 min,Adventure,9,Add a Plot,Affonso Brazza,"Affonso Brazza, 
Francisco Coutinho, 
Claudete Joubert"
tt16532108,DeMonD the movie,2021,105 min,Adventure,9,Demond the movie is a live action movie adaption of demond comics comic books made in 2021. this story is the journey of one man that was caught in between a war between two demi gods over the mythical and powerful cup of haties.,Antonio Hutton,"Brandon Bailey, 
Micheal Terrell Bailey, 
Anthony Goodly, 
Taj Goodly"
tt7466810,777 Charlie,2022,164 min,"Adventure, Comedy, Drama",8.9,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,Kiranraj K,"Rakshit Shetty, 
Charlie, 
Sangeetha Sringeri, 
Raj B. Shetty"
tt0075143,The Message,1976,207 min,"Action, Adventure, Biography",8.9,"The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah.""",Moustapha Akkad,"Abdallah Gheith, 
Mona Wassef, 
Hamdy Gheith, 
Ali Achmed Taram"
