movie_id,movie_name,year,runtime,genre,rating,description,director
tt25730388,The Lies of Our Confines,2022,,Horror,8.4,Two youth leaders take a group of Black males on an excursion to the great outdoors to give them a new perspective on life. But things take a sinister turn when one of them stumbles across a possessed corn doll housing a vengeful spirit.,Leon Oldstrong
tt13044858,My Cherry Pie,2022,,Horror,8.4,"On the run, three criminals find themselves holed up at a notorious old hospital that happens to be the hunting ground of a masked killer.","Addison Heath, 
Jasmine Jakupi"
tt3518152,Necroland,2020,,"Animation, Action, Horror",8.4,"In the near future, Earth has changed even more for the worse as far as weather and human behavior. Different seasonal conditions appear around every corner. Half the population has ...                See full summary »","Michael James Alexander, 
Leah Barkoff, 
Billie Rae Bates, 
Tyler Bickel"
tt24069594,Pasivadi Pranam,2022,130 min,"Crime, Drama, Horror",8.4,"In a twisted world, a husband kills his wife by accident and buries her in the backyard. His life becomes miserable when his house becomes haunted.",N.S. Murthy
tt13671168,Blue Sunset,2021,65 min,"Horror, Sci-Fi",8.4,"Blue Sunset is the first Italian Cyberpunk film of the new millennium, a colorful cyberpunk story that evokes the glorious sci-fi visuals of the 80s, without neglecting the nihilism typical of the genre.",Domiziano Cristopharo
tt0963947,Sacred Game,2009,,"Horror, Thriller",8.4,"SACRED GAME is the moment between life and death. In the midst of fleshing out his latest screenplay, Daniel decides on leaving his wife and infant son to escape for a weekend hunting ...                See full summary »",Bernardo Chilindron
tt5834832,Barrio Tales 2,2016,80 min,"Comedy, Horror",8.4,Add a Plot,Jarret Tarnol
tt7296378,There's No Such Thing as Zombies,2020,,"Comedy, Horror",8.4,Add a Plot,Eddie Bammeke
tt2297067,Winter's Kill,2012,,"Action, Horror, Thriller",8.4,"Without electricity, gas, and food only in short supply, six groups of survivors must battle themselves and others in an attempt to prepare for the upcoming winter.","Dylan J. Freedman, 
Ryan L. Johnson"
tt13729584,Virus,2020,84 min,Horror,8.4,A curse happened to hamza after meeting a college student and started to hunt all of his friends.,Usama Omar
tt20848732,Unknown Strangers,2022,90 min,Horror,8.4,A cannibalistic serial killer adapts to life in the zombie apocalypse.,Chris Pinkston
tt12964804,Virtual Attack,2020,62 min,Horror,8.4,"Two friends are going to do a Zoom meeting, but what they didn't know is that a unknown user joined them and start to make things go scary.",Miguel Caxeta
tt5602872,Snuff,2016,45 min,"Comedy, Horror",8.4,"Simon, an aspiring filmmaker has been laid off from three different jobs. Down on his luck he gets a call from someone offering him a chance to be a cinematographer for a movie with a huge ...                See full summary »","Steve Hasse, 
Dan Lang"
tt2572014,Blood of the Witch: The Complete Film,2012,65 min,"Animation, Adventure, Fantasy",8.4,"Originally conceived as a trilogy of short silent films, Blood of the Witch: The Complete Film is a new edit of all three films put together into one stand-alone piece. It follows the ...                See full summary »",Casey T. Malone
tt2346034,The WitcHunt,2012,45 min,"Horror, Music, Thriller",8.4,"Loosely based off the seven deadly sins, The WitcHunt takes you through the day in the life of seven different people living with their own personal struggles.",T.D. Benton
tt5839852,The Wall of Souls,2016,80 min,"Horror, Thriller",8.4,A resourceful teenager must work with her masked captor's psychologically disturbed daughters to escape before she ends up a victim of his basement haunted attraction maze.,Robert Katerwol
tt1935229,Siodmak,2012,,"Action, Horror, Thriller",8.4,"A Modern Frankenstein Film, set in New York City, where a former cop, a medical examiner and a online journalist must discover the terrifying secret behind a serial killer's actions that hold the Big Apple in a constant state of fear.",Nicholas Ortiz
